Nombre,Marca,Precio
JABON LIQUIDO FEEL RELAXED PALMOLIVE 250ML,PALMOLIVE,Gs   18.200
TAPA CUADRIL PICAÑA FRIGOMERC SELECCIÓN xKG,,Gs   79.950
OREGANO HIERBAPAR 50GR,HIERBAPAR,Gs   5.800
JABON LIQUIDO ENERGIA REVITALIZANTE PALMOLIVE 250ML,PALMOLIVE,Gs   18.200
TÉ DE BURRITO HIERBAPAR 10UNID,HIERBAPAR,Gs   3.600
CANELA HIERBAPAR 50GR,HIERBAPAR,Gs   3.500
COCO RALLADO HIERBAPAR 100GR,HIERBAPAR,Gs   8.150
PIMIENTA MOLIDA HIERBAPAR 50GR,HIERBAPAR,Gs   6.750
COMINO MOLIDO HIERBAPAR 50GR,HIERBAPAR,Gs   4.550
ANIS HIERBAPAR 50GR,HIERBAPAR,Gs   5.200
ANIS HIERBAPAR 25GR,HIERBAPAR,Gs   2.800
AMBAY HIERBAPAR 15GR,HIERBAPAR,Gs   1.700
CANELA EN RAMA HIERBAPAR 15GR,HIERBAPAR,Gs   5.800
HINOJO HIERBAPAR 15GR,HIERBAPAR,Gs   1.700
SALVIA HIERBAPAR 15GR,HIERBAPAR,Gs   1.500
TOMILLO HIERBAPAR 15GR,HIERBAPAR,Gs   3.400
TILO HIERBAPAR 15GR,HIERBAPAR,Gs   5.400
SEN HIERBAPAR 15GR,HIERBAPAR,Gs   2.500
ROMERO HIERBAPAR 15GR,HIERBAPAR,Gs   2.100
PIMIENTA CAYENA HIERBPAR 15GR,HIERBAPAR,Gs   3.300
PIMIENTA MOLIDA HIERBAPAR 15GR,HIERBAPAR,Gs   2.200
PIMENTON DULCE HIERBAPAR 15GR,HIERBAPAR,Gs   1.900
PAPRIKA HIERBAPAR 15GR,HIERBAPAR,Gs   3.750
OREGANO HIERBAPAR 15GR,HIERBAPAR,Gs   2.000
NUEZ MOSCADA HIERBAPAR 15GR,HIERBAPAR,Gs   5.550
JATE'I KA'A HIERBAPAR 15GR,HIERBAPAR,Gs   1.400
MALVA HIERBAPAR 15GR,HIERBAPAR,Gs   1.500
LAUREL EN HOJAS HIERBAPAR 15GR,HIERBAPAR,Gs   2.100
